baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000000003	4367.04156751199	-0.382420759985936	0.208377236233919	-1.83523290210376	0.0664711880304549	0.304496302778554	TSPAN6
ENSG00000000005	3.78854057542868	-0.951534600008135	0.686462051000267	-1.38614304843454	0.165703227663196	0.469531219356329	TNMD
ENSG00000000419	1201.56634094	0.0143229301361886	0.133981701028823	0.106902136830666	0.914866617961871	0.968409207894882	DPM1
ENSG00000000457	605.377175047617	-0.191173958613389	0.169841803353869	-1.12560014577256	0.260334806374769	0.571552212233929	SCYL3
ENSG00000000460	329.032914630914	-0.0478255860361953	0.307396884429159	-0.155582533391671	0.876362093606341	0.955472345181652	C1orf112
ENSG00000000938	263.44679853754	0.67170738623857	0.343424277636205	1.95591118619203	0.0504756173593774	0.26638707851811	FGR
ENSG00000000971	48864.756774552	-0.888623436370465	0.287072630663824	-3.09546554234593	0.00196504203549841	0.0514280424677407	CFH
ENSG00000001036	4109.59407872962	0.0177842585290689	0.208558794178334	0.0852721583816889	0.93204502528788	0.975048998012696	FUCA2
ENSG00000001084	4967.20696083986	-0.46750945066392	0.255298270004797	-1.83122843196367	0.0670664546686396	0.306379311080234	GCLC
ENSG00000001167	1104.22146178531	0.200661451616911	0.196348826602302	1.02196409873813	0.306797892660928	0.616203942555377	NFYA
ENSG00000001460	168.93478556233	0.394301977368574	0.162980572834752	2.41931888267666	0.0155496021322199	0.149239837492708	STPG1
ENSG00000001461	447.647879652056	0.231536231523979	0.148650750789236	1.55758534884403	0.119331573998967	0.401504419968824	NIPAL3
ENSG00000001497	2052.6280905159	0.0285503741552144	0.164621014781854	0.173430920669804	0.862312722171311	0.949094289680191	LAS1L
ENSG00000001561	823.868185530361	-0.382926686042144	0.259406115960319	-1.47616676123673	0.139899130183143	0.431540681512715	ENPP4
ENSG00000001617	1054.96356604254	0.427205619789031	0.202574700414297	2.10887943516801	0.0349549897180001	0.22229672111591	SEMA3F
ENSG00000001626	79.1955414180064	-0.825478673321946	0.705527949193605	-1.17001555255953	0.241994710127778	0.552695657788819	CFTR
ENSG00000001629	1036.54565155708	-0.113537877416083	0.194967985902003	-0.582341130985219	0.560336925792322	0.79948138311881	ANKIB1
ENSG00000001630	586.951472835964	-0.573396058900948	0.336063585066848	-1.7062130036698	0.0879684285056588	0.348217585330254	CYP51A1
ENSG00000001631	757.677366291743	-0.281262984511437	0.196192221429528	-1.43360925556606	0.151683800759132	0.448463322411149	KRIT1
ENSG00000002016	222.163597011817	0.0184216344162691	0.175302138607985	0.105085052370433	0.916308320108734	0.968822039810082	RAD52
ENSG00000002330	1811.40507830982	0.117851036658083	0.171663511935395	0.686523509448156	0.492383044554093	0.754077597829397	BAD
ENSG00000002549	5066.07992966725	-0.54177535737767	0.251893027937383	-2.15081521633996	0.0314907875867743	0.211991262103473	LAP3
ENSG00000002586	8708.22819761215	-0.169283106199697	0.165071547589867	-1.02551353441172	0.305120942579247	0.615128100136092	CD99
ENSG00000002587	72.5381276702878	-0.17267262910028	0.291236102705638	-0.592895686682108	0.553250964827885	0.795292497948536	HS3ST1
ENSG00000002726	58.8154804547917	0.199086859418275	0.613133215188464	0.32470408466956	0.745405042919148	0.895202358177818	AOC1
ENSG00000002745	2.77675981826942	1.85893903212562	0.71313311773357	2.6067209415734	0.00914138271565037	0.113872801878656	WNT16
ENSG00000002746	43.9437964876902	0.832638802267622	0.630958330349585	1.31964150755613	0.186954737644551	0.494414586847013	HECW1
ENSG00000002822	1410.65203053802	0.107601245529359	0.211186584840158	0.509507957670701	0.610396221900395	0.826563405522895	MAD1L1
ENSG00000002834	11272.3352464224	0.21881020317413	0.165789383003779	1.31980829658521	0.18689903088731	0.49439380148979	LASP1
ENSG00000002919	1017.78510765889	-0.0934175722767086	0.165075668834832	-0.565907580057594	0.571456608438293	0.805172004299243	SNX11
ENSG00000002933	34502.9700622479	-0.33490671866573	0.304500757089784	-1.0998551263601	0.271395248998104	0.581604604804957	TMEM176A
ENSG00000003056	1299.54224565988	-0.036831547890101	0.245256920643173	-0.150175366279216	0.880626260334963	0.957632617696835	M6PR
ENSG00000003096	200.876061363674	-0.500346737127752	0.356690359161352	-1.40274813792042	0.160691957113486	0.4626171372386	KLHL13
ENSG00000003137	276.950141748676	1.24294648058466	0.671503409384487	1.85099057311409	0.0641709092989736	0.299924732588935	CYP26B1
ENSG00000003147	792.091459318468	0.52523552772876	0.398227164942801	1.31893445241035	0.187191026953177	0.494862606048658	ICA1
ENSG00000003249	1644.42651852013	0.376144128888954	0.388223806797577	0.968884757459191	0.332602691362411	0.636811569485735	DBNDD1
ENSG00000003393	1362.37149436713	0.0636868231896892	0.167369510368483	0.3805162783202	0.703562215356357	0.872390774810234	ALS2
ENSG00000003400	574.269161682455	0.0205963501800483	0.138375531876308	0.148843873629762	0.881676830065644	0.957810423565044	CASP10
ENSG00000003402	3532.09220122263	0.0481945124650487	0.0987486899243135	0.488052170636265	0.625512888186141	0.83479460249249	CFLAR
ENSG00000003436	12773.093502525	0.305299621873187	0.389495720416437	0.783833058670761	0.433138073175303	0.714864339526742	TFPI
ENSG00000003509	524.43616789622	0.0407103251064593	0.135806972018652	0.299766090807681	0.764355582112483	0.904917677422707	NDUFAF7
ENSG00000003756	1893.82129709414	0.089916096379195	0.114262227928251	0.786927561360489	0.431324272271759	0.713230697442876	RBM5
ENSG00000003987	154.092856702726	1.79566122369326	0.458917915941336	3.91281569386976	9.12261606479296e-05	0.00785167613400624	MTMR7
ENSG00000003989	6387.12066483261	-0.753517858148521	0.327724751103847	-2.29924000433447	0.0214913145444133	0.172688613295073	SLC7A2
ENSG00000004059	5059.16513902536	0.107213016641237	0.159400417819025	0.672601854550723	0.501200621555824	0.760614242865521	ARF5
ENSG00000004139	185.104630553991	-0.0414726481233067	0.283426300685319	-0.14632603969013	0.883664010393705	0.958379365211098	SARM1
ENSG00000004142	10851.1296941204	-0.11596203607108	0.17874183532002	-0.648768296820164	0.516488152146615	0.772314128669384	POLDIP2
ENSG00000004399	3813.76723974577	0.33859529444639	0.211407590582406	1.60162316553344	0.109238964983849	0.386701469255841	PLXND1
ENSG00000004455	5172.96855855488	0.0624169344399127	0.14311861407478	0.436120310718631	0.662749441645799	0.854671871664726	AK2
ENSG00000004468	210.082522883477	0.478188230096042	0.478746088849328	0.998834750264745	0.317874749057741	0.62612903117849	CD38
ENSG00000004478	6500.89829990673	0.163472620869647	0.219979053390849	0.743128122199872	0.457404115062951	0.731915194439962	FKBP4
ENSG00000004487	1735.46398482382	0.344786464329351	0.155540142051109	2.21670405968935	0.0266433211938037	0.193480993949277	KDM1A
ENSG00000004534	2042.8332883757	0.239163514617414	0.150206256853047	1.59223403623857	0.111332128206151	0.39013941304597	RBM6
ENSG00000004660	83.188709860467	0.302599225797634	0.309991421531471	0.976153547419742	0.328988379027867	0.634260311097377	CAMKK1
ENSG00000004700	447.110638775435	-0.00430079649911597	0.291580753939238	-0.0147499327065058	0.988231683142324	0.995275951310838	RECQL
ENSG00000004766	610.415414854537	-0.258201961086674	0.159906216100881	-1.61470871728826	0.106373788871147	0.381340415019885	VPS50
ENSG00000004776	562.364019892025	0.0176379267953677	0.489843472203096	0.0360072712943182	0.971276561061041	0.988588820765521	HSPB6
ENSG00000004777	318.003036084154	0.678356024811327	0.254170322554115	2.66890334793866	0.00760993452849634	0.103263997492507	ARHGAP33
ENSG00000004779	2778.6691118869	0.185984263784621	0.209099776850779	0.889452234649421	0.373760083002187	0.669252507427193	NDUFAB1
ENSG00000004799	7619.54346015325	-0.327151470979585	0.49097791045317	-0.666326252188465	0.505202589222589	0.763788134442495	PDK4
ENSG00000004809	2.90289096926694	-0.593115789408408	0.700943948333633	-0.846167216106841	0.397459467889309	0.6868329015831	SLC22A16
ENSG00000004838	46.1031552424238	0.386581261623139	0.322062766319912	1.20032894842349	0.230011611263866	0.540164112968604	ZMYND10
ENSG00000004846	6.88618672500519	1.82878760225378	0.698796453697555	2.61705335305736	0.00886924770952913	0.112181116201556	ABCB5
ENSG00000004848	0.6507456374725	1.99381383778422	0.860006500539152	2.31837065944765	0.0204291852291726	NA	ARX
ENSG00000004864	5443.42925823966	-0.131043556086356	0.253873706016522	-0.516176165474289	0.605731375440405	0.823100008092754	SLC25A13
ENSG00000004866	1641.55845085594	-0.234500726170747	0.155865118691241	-1.5045106187952	0.132449941263261	0.42181622342588	ST7
ENSG00000004897	1863.99161880306	-0.292209305942478	0.137107771436856	-2.13123809744842	0.0330695318918392	0.216616109585473	CDC27
ENSG00000004939	5.09019695911933	-1.22362562552846	0.579507176070521	-2.11149348283403	0.0347299175013727	0.221505755248592	SLC4A1
ENSG00000004948	3.13671420772442	0.415119398282807	0.656516338260642	0.632306271893574	0.527186766046235	0.779975315729841	CALCR
ENSG00000004961	907.662541661152	-0.134176723892508	0.166403017392964	-0.806335882573854	0.420049205978207	0.704589965406164	HCCS
ENSG00000004975	874.344516137498	0.295124049855284	0.152628475848151	1.93361067268273	0.053161014057298	0.273528642436223	DVL2
ENSG00000005001	52.4310326431687	3.34235760355951	0.785650285480086	4.25425620703123	2.09745037735136e-05	0.00350539240788408	PRSS22
ENSG00000005007	4649.08481179899	0.0591098237699152	0.123055098661681	0.48035249585576	0.630976766755195	0.838143584120983	UPF1
ENSG00000005020	839.430927469021	-0.160097921742508	0.310000822992742	-0.516443537784598	0.605544664280843	0.822997965963645	SKAP2
ENSG00000005022	14359.0604263952	-0.57323203411796	0.21568415027469	-2.65773833352106	0.00786669452968705	0.104762217861835	SLC25A5
ENSG00000005059	215.397558137837	0.218286214586079	0.358807029356382	0.608366605798205	0.542944354580487	0.789758057134997	MCUB
ENSG00000005073	6.36502366938747	0.0875035960046603	0.921728727667215	0.0949342180384476	0.924367077185042	0.972134910801207	HOXA11
ENSG00000005075	2159.97135658979	0.155348615617223	0.189853769779079	0.818254047828458	0.41321213919373	0.700741039784185	POLR2J
ENSG00000005100	653.085196949323	-0.099648816656564	0.142599734492014	-0.698800856898821	0.484676492957153	0.748698206362026	DHX33
ENSG00000005102	28.3141838199011	-0.59513626417769	0.531465888731913	-1.11980143372455	0.262798388188511	0.573441776453347	MEOX1
ENSG00000005108	224.015674276168	0.012582918445017	0.364193488436577	0.0345500917631267	0.972438498718229	0.989127552924823	THSD7A
ENSG00000005156	955.365453266841	-0.161418465900639	0.176134689115523	-0.916449035174257	0.35943142663193	0.658289669228087	LIG3
ENSG00000005175	751.267809045165	-0.0166841644579729	0.0995804725949491	-0.167544539840024	0.866941605055041	0.951517237010582	RPAP3
ENSG00000005187	1063.6091378762	-0.356916189739371	0.402880545947326	-0.885910708098662	0.375665645429546	0.671118378480955	ACSM3
ENSG00000005189	308.340733833413	0.0512507120932405	0.350812369442763	0.146091519448554	0.883849141090292	0.958379365211098	AC004381.6
ENSG00000005194	1546.88663596053	0.255906411951619	0.171121359781611	1.49546738220297	0.134792506411663	0.424304865501361	CIAPIN1
ENSG00000005206	1795.3738244643	0.111648132994204	0.180726165011423	0.617775146100994	0.536723568890636	0.785470859086937	SPPL2B
ENSG00000005238	521.840667241072	0.0278148153360342	0.146626211844086	0.189698792502469	0.849545167073088	0.943859640104475	FAM214B
ENSG00000005243	1077.90194069447	-0.488074802715977	0.311969382577517	-1.56449584469945	0.11770116805646	0.398741317122328	COPZ2
ENSG00000005249	66.7843445177941	0.077639595062935	0.435644468821696	0.178217791386012	0.858551937883603	0.947117412834567	PRKAR2B
ENSG00000005302	617.360180970915	-0.0772762264192102	0.108053979555249	-0.715163168791003	0.474508224665493	0.742769924228123	MSL3
ENSG00000005339	2662.81448714423	-0.0744325280889365	0.158393443357379	-0.469921775240384	0.63841090632283	0.842869265536166	CREBBP
ENSG00000005379	335.469465442256	0.112206912176676	0.353014712362368	0.317853359214944	0.750596173114722	0.897828459592419	TSPOAP1
ENSG00000005381	5.90351871063605	0.233329750857812	0.481577862594423	0.484510956547682	0.62802329043819	0.836565525791259	MPO
ENSG00000005421	11861.9798330821	-0.642346132411403	0.427001053605755	-1.5043197832586	0.132499047600425	0.42181622342588	PON1
ENSG00000005436	824.420632889402	0.103158357729017	0.150812604989681	0.684016815014075	0.493964547833749	0.754998808621824	GCFC2
ENSG00000005448	248.304971529566	0.15816049240747	0.37433956033874	0.42250541798027	0.67265614691198	0.858482268409052	WDR54
ENSG00000005469	1525.87139034053	-0.360932733536732	0.262980019638988	-1.372472076138	0.169916525916364	0.475480121769034	CROT
ENSG00000005471	5695.80200086268	-1.37149181249759	0.453494078350062	-3.02427722427482	0.00249227947197	0.0584821007524716	ABCB4
ENSG00000005483	1429.22265334731	-0.132504845059084	0.200119579586942	-0.662128340128344	0.507888974588087	0.765361393160397	KMT2E
ENSG00000005486	4275.55487713659	-0.0952400265873191	0.181325395073505	-0.525243728539576	0.599413769855874	0.820831658313259	RHBDD2
ENSG00000005513	17.1730689403476	0.590397704073786	0.494536190380784	1.19384125076709	0.232540072104463	0.5425451740821	SOX8
ENSG00000005700	3380.26041213645	-0.236112323098683	0.151862498026183	-1.55477702637273	0.119999182395545	0.402103341514661	IBTK
ENSG00000005801	498.720393857124	0.312212248220652	0.178370625224167	1.75035686413208	0.0800567543922183	0.33222782555404	ZNF195
ENSG00000005810	865.799754540558	-0.224326307108957	0.19178298744777	-1.16968825073731	0.242126448069859	0.552757365098072	MYCBP2
ENSG00000005812	1088.16030279486	-0.187499769188764	0.185649478271867	-1.00996658290732	0.31251130051516	0.620714325665273	FBXL3
